8300,None,Criminal Division; ,12-654; 
8301,None,Civil Rights Division; ,12-653; 
8302,None,Tax Division; ,12-652; 
8303,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-651; 
8304,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-649; 
8305,None,Environment and Natural Resources Division; ,12-648; 
8306,None,Civil Rights Division; ,12-647; 
8307,None,Civil Rights Division; ,12-646; 
8308,None,Criminal Division; ,12-645; 
8309,None,Criminal Division; ,12-644; 
8310,None,Civil Rights Division; ,12-642; 
8311,None,Tax Division; ,12-641; 
8312,None,Tax Division; ,12-640; 
8313,None,Criminal Division; ,12-639; 
8314,None,Office of the Attorney General; ,12-635; 
8315,None,Criminal Division; ,12-638; 
8316,None,Tax Division; ,12-637; 
8317,None,Criminal Division; ,12-634; 
8318,None,Criminal Division; ,12-633; 
8319,None,National Security Division (NSD); ,12-629; 
8320,None,Civil Rights Division; ,12-632; 
8321,None,Environment and Natural Resources Division; ,12-630; 
8322,None,Tax Division; ,12-631; 
8323,None,Criminal Division; ,12-628; 
8324,None,Criminal Division; ,12-627; 
8325,None,Criminal Division; ,12-626; 
8326,None,Tax Division; ,12-625; 
8327,None,Civil Rights Division; ,12-624; 
8328,None,Tax Division; ,12-623; 
8329,None,Civil Rights Division; ,12-622; 
8330,None,Criminal Division; ,12-621; 
8331,StopFraud; ,Antitrust Division; ,12-620; 
8332,None,Tax Division; ,12-619; 
8333,StopFraud; ,Criminal Division; ,12-618; 
8334,StopFraud; ,Criminal Division; ,12-617; 
8335,Consumer Protection; ,Civil Division; ,12-616; 
8336,None,Civil Rights Division; ,12-614; 
8337,None,Criminal Division; ,12-613; 
8338,None,Criminal Division; ,12-610; 
8339,None,Civil Rights Division; ,12-609; 
8340,None,Criminal Division; ,12-608; 
8341,None,Criminal Division; ,12-607; 
8342,None,Office of the Attorney General; ,12-606; 
8343,None,Environment and Natural Resources Division; ,12-603; 
8344,None,Environment and Natural Resources Division; ,12-604; 
8345,Intellectual Property; ,Criminal Division; ,12-605; 
8346,None,Civil Rights Division; Civil Rights - Federal Coordination and Compliance Section; ,12-602; 
8347,None,Office of the Attorney General; ,12-599; 
8348,Project Safe Childhood; ,Criminal Division; ,12-598; 
8349,Project Safe Childhood; ,Criminal Division; ,12-596; 
8350,None,Criminal Division; ,12-597; 
8351,None,Tax Division; ,12-595; 
8352,None,Tax Division; ,12-594; 
8353,None,Tax Division; ,12-592; 
8354,None,Criminal Division; ,12-590; 
8355,None,Civil Division; ,12-589; 
8356,None,Criminal Division; ,12-588; 
8357,None,Criminal Division; ,12-587; 
8358,None,Civil Rights Division; ,12-586; 
8359,Consumer Protection; ,Civil Division; ,12-585; 
8360,None,Civil Rights Division; ,12-584; 
8361,None,Civil Rights Division; ,12-581; 
8362,None,Tax Division; ,12-580; 
8363,None,National Security Division (NSD); ,12-579; 
8364,Consumer Protection; ,Civil Division; ,12-578; 
8365,None,Criminal Division; ,12-577; 
8366,None,Criminal Division; ,12-576; 
8367,None,Environment and Natural Resources Division; ,12-574; 
8368,None,Antitrust Division; ,12-572; 
8369,None,Tax Division; ,12-573; 
8370,None,Criminal Division; ,12-571; 
8371,None,Tax Division; ,12-570; 
8372,None,Criminal Division; ,12-569; 
8373,None,Office of the Attorney General; ,12-568; 
8374,None,Tax Division; ,12-567; 
8375,None,National Security Division (NSD); ,12-565; 
8376,None,Civil Rights Division; ,12-562; 
8377,None,Civil Rights Division; ,12-564; 
8378,None,Civil Rights Division; ,12-563; 
8379,None,Civil Rights Division; ,12-561; 
8380,None,Criminal Division; ,12-558; 
8381,StopFraud; ,Criminal Division; ,12-559; 
8382,None,Antitrust Division; ,12-557; 
8383,None,Civil Rights Division; ,12-556; 
8384,None,Antitrust Division; ,12-555; 
8385,None,Criminal Division; ,12-554; 
8386,None,Civil Rights Division; ,12-553; 
8387,StopFraud; ,Antitrust Division; ,12-551; 
8388,None,Tax Division; ,12-552; 
8389,None,Environment and Natural Resources Division; ,12-550; 
8390,None,Office of the Attorney General; ,12-549; 
8391,Hate Crimes; ,Civil Rights Division; ,12-548; 
8392,None,Civil Rights Division; ,12-546; 
8393,None,Tax Division; ,12-547; 
8394,None,Criminal Division; ,12-544; 
8395,None,Civil Rights Division; ,12-545; 
8396,StopFraud; ,Antitrust Division; ,12-543; 
8397,None,Criminal Division; ,12-542; 
8398,None,Antitrust Division; ,12-541; 
8399,None,Civil Rights Division; ,12-540; 
8400,None,Civil Division; ,12-539; 
8401,None,Civil Rights Division; ,12-538; 
8402,None,Criminal Division; ,12-534; 
8403,None,Criminal Division; ,12-532; 
8404,None,Criminal Division; ,12-533; 
8405,None,Tax Division; ,12-531; 
8406,None,Environment and Natural Resources Division; ,12-530; 
8407,None,Tax Division; ,12-529; 
8408,Intellectual Property; ,Criminal Division; ,12-528; 
8409,None,Environment and Natural Resources Division; ,12-527; 
8410,None,None,12-522; 
8411,Consumer Protection; ,Civil Division; ,12-526; 
8412,None,Tax Division; ,12-525; 
8413,None,Office of the Attorney General; ,12-524; 
8414,None,Civil Division; ,12-523; 
8415,None,Office of the Attorney General; ,12-521; 
8416,None,Civil Division; ,12-520; 
8417,None,Criminal Division; ,12-519; 
8418,None,Antitrust Division; ,12-515; 
8419,StopFraud; ,Antitrust Division; ,12-513; 
8420,None,Civil Rights Division; ,12-517; 
8421,None,Criminal Division; ,12-518; 
8422,None,Civil Division; ,12-512; 
8423,None,Civil Rights Division; ,12-507; 
8424,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-511; 
8425,None,Criminal Division; ,12-510; 
8426,Consumer Protection; ,Antitrust Division; ,12-509; 
8427,None,Tax Division; ,12-508; 
8428,None,Office of the Attorney General; ,12-506; 
8429,None,Civil Division; ,12-505; 
8430,StopFraud; ,Antitrust Division; ,12-504; 
8431,None,Environment and Natural Resources Division; ,12-503; 
8432,None,Office of the Attorney General; ,12-502; 
8433,None,Office of the Associate Attorney General; ,12-500; 
8434,None,Civil Rights Division; ,12-499; 
8435,None,Tax Division; ,12-498; 
8436,None,Civil Division; ,12-497; 
8437,None,Tax Division; ,12-496; 
8438,None,Criminal Division; ,12-494; 
8439,None,Tax Division; ,12-492; 
8440,None,Tax Division; ,12-491; 
8441,StopFraud; ,Criminal Division; ,12-488; 
8442,None,Environment and Natural Resources Division; ,12-487; 
8443,None,Criminal Division; ,12-485; 
8444,StopFraud; ,Antitrust Division; ,12-486; 
8445,None,Civil Rights Division; ,12-483; 
8446,None,Tax Division; ,12-482; 
8447,None,Tax Division; ,12-481; 
8448,None,Environment and Natural Resources Division; ,12-479; 
8449,None,Criminal Division; ,12-476; 
8450,Hate Crimes; ,Civil Rights Division; ,12-475; 
8451,None,Civil Division; ,12-474; 
8452,None,Civil Rights Division; ,12-473; 
8453,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-471; 
8454,Hate Crimes; ,Civil Rights Division; ,12-470; 
8455,None,Tax Division; ,12-469; 
8456,None,Tax Division; ,12-467; 
8457,None,Tax Division; ,12-466; 
8458,Hate Crimes; ,Civil Rights Division; ,12-465; 
8459,Project Safe Childhood; ,Criminal Division; ,12-463; 
8460,None,Criminal Division; ,12-464; 
8461,None,Civil Rights Division; ,12-459; 
8462,None,Civil Rights Division; ,12-462; 
8463,Indian Country Law and Justice; ,Office of the Attorney General; ,12-460; 
8464,None,Antitrust Division; ,12-457; 
8465,None,Tax Division; ,12-458; 
8466,Hate Crimes; ,Civil Rights Division; ,12-455; 
8467,None,Civil Rights Division; ,12-454; 
8468,None,Tax Division; ,12-453; 
8469,None,Tax Division; ,12-452; 
8470,None,Antitrust Division; ,12-449; 
8471,None,Antitrust Division; ,12-439; 
8472,None,Criminal Division; ,12-448; 
8473,Intellectual Property; ,Criminal Division; ,12-447; 
8474,None,Civil Division; ,12-446; 
8475,None,Criminal Division; ,12-444; 
8476,Project Safe Childhood; ,Criminal Division; ,12-441; 
8477,None,Tax Division; ,12-442; 
8478,Hate Crimes; ,Civil Rights Division; ,12-440; 
8479,None,Tax Division; ,12-436; 
8480,None,Criminal Division; ,12-438; 
8481,None,Office of the Attorney General; ,12-437; 
