10000,None,Criminal Division; ,11-416; 
10001,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-415; 
10002,None,Antitrust Division; ,11-414; 
10003,None,Tax Division; ,11-413; 
10004,None,Civil Division; ,11-412; 
10005,None,Antitrust Division; ,11-411; 
10006,None,Criminal Division; ,11-409; 
10007,None,Criminal Division; ,11-408; 
10008,None,Criminal Division; ,11-407; 
10009,None,Criminal Division; ,11-406; 
10010,None,Antitrust Division; ,11-405; 
10011,None,Civil Rights Division; ,11-403; 
10012,None,Environment and Natural Resources Division; ,11-404; 
10013,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-402; 
10014,None,Antitrust Division; ,11-401; 
10015,None,Criminal Division; ,11-399; 
10016,None,Antitrust Division; ,11-398; 
10017,None,Office of Public Affairs; ,11-396; 
10018,None,Tax Division; ,11-397; 
10019,None,Environment and Natural Resources Division; ,11-395; 
10020,None,Antitrust Division; ,11-388; 
10021,None,Criminal Division; ,11-393; 
10022,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-392; 
10023,None,Tax Division; ,11-390; 
10024,None,Criminal Division; ,11-391; 
10025,None,Tax Division; ,11-389; 
10026,None,Criminal Division; ,11-387; 
10027,None,Criminal Division; ,11-386; 
10028,None,Office of Public Affairs; ,11-385; 
10029,None,Criminal Division; ,11-384; 
10030,None,Antitrust Division; ,11-383; 
10031,None,Tax Division; ,11-382; 
10032,None,Criminal Division; ,11-381; 
10033,None,Criminal Division; ,11-379; 
10034,None,Office of the Attorney General; ,11-374; 
10035,None,Civil Rights Division; ,11-380; 
10036,None,Criminal Division; ,11-377; 
10037,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,11-378; 
10038,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-376; 
10039,None,Civil Rights Division; ,11-375; 
10040,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-373; 
10041,None,Criminal Division; ,11-371; 
10042,None,Tax Division; ,11-372; 
10043,None,Criminal Division; ,11-370; 
10044,Project Safe Childhood; ,Criminal Division; ,11-369; 
10045,None,Tax Division; ,11-368; 
10046,None,Criminal Division; ,11-367; 
10047,None,Criminal Division; ,11-366; 
10048,None,Antitrust Division; ,11-365; 
10049,None,Criminal Division; ,11-359; 
10050,None,Criminal Division; ,11-364; 
10051,None,Civil Division; ,11-363; 
10052,None,Tax Division; ,11-362; 
10053,None,Tax Division; ,11-361; 
10054,None,Criminal Division; ,11-360; 
10055,None,Office of the Attorney General; ,11-358; 
10056,None,Antitrust Division; ,11-357; 
10057,None,Tax Division; ,11-356; 
10058,None,Tax Division; ,11-355; 
10059,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-354; 
10060,None,Tax Division; ,11-352; 
10061,None,Civil Rights Division; ,11-349; 
10062,None,Antitrust Division; ,11-350; 
10063,None,Environment and Natural Resources Division; ,11-351; 
10064,None,Office of Public Affairs; ,11-345; 
10065,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-348; 
10066,None,Tax Division; ,11-347; 
10067,None,Tax Division; ,11-344; 
10068,None,Tax Division; ,11-343; 
10069,None,Civil Rights Division; ,11-342; 
10070,None,Criminal Division; ,11-341; 
10071,None,Criminal Division; ,11-339; 
10072,None,Criminal Division; ,11-337; 
10073,None,Environment and Natural Resources Division; ,11-337; 
10074,None,Civil Division; ,11-336; 
10075,None,Civil Division; ,11-335; 
10076,None,Civil Rights Division; ,11-334; 
10077,None,Criminal Division; ,11-333; 
10078,Project Safe Childhood; ,Criminal Division; ,11-332; 
10079,None,Criminal Division; ,11-331; 
10080,None,Civil Rights Division; ,11-330; 
10081,None,Office of the Attorney General; ,11-329; 
10082,None,Criminal Division; ,11-326; 
10083,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-324; 
10084,None,Tax Division; ,11-328; 
10085,None,Criminal Division; ,11-327; 
10086,None,Environment and Natural Resources Division; ,11-325; 
10087,None,Environment and Natural Resources Division; ,11-323; 
10088,None,Office of Public Affairs; ,11-321; 
10089,None,Antitrust Division; ,11-322; 
10090,None,Criminal Division; ,11-318; 
10091,None,Criminal Division; ,11-320; 
10092,None,Tax Division; ,11-319; 
10093,None,Criminal Division; ,11-315; 
10094,None,Environment and Natural Resources Division; ,11-314; 
10095,None,Criminal Division; ,11-313; 
10096,None,Tax Division; ,11-312; 
10097,None,Civil Rights Division; ,11-307; 
10098,None,Civil Rights Division; ,11-310; 
10099,None,Criminal Division; ,11-309; 
10100,None,Civil Rights Division; Civil Rights - Criminal Section; ,11-308; 
10101,None,Civil Rights Division; ,11-307; 
10102,None,Civil Division; ,11-306; 
10103,None,Tax Division; ,11-302; 
10104,None,Office of the Attorney General; ,11-303; 
10105,None,Tax Division; ,11-305; 
10106,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,11-301; 
10107,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,11-300; 
10108,None,Office of the Attorney General; ,11-299; 
10109,None,Tax Division; ,11-298; 
10110,None,Criminal Division; ,11-296; 
10111,None,Office of the Attorney General; ,11-295; 
10112,None,Civil Rights Division; ,11-294; 
10113,None,Tax Division; ,11-292; 
10114,None,National Security Division (NSD); ,11-291; 
10115,None,Civil Rights Division; ,11-290; 
10116,None,Criminal Division; ,11-289; 
10117,None,Criminal Division; ,11-288; 
10118,None,Office of the Attorney General; ,11-287; 
10119,None,Civil Rights Division; ,11-286; 
